AAP_Share_D         : 55254206302462116
KHEFOLA_Share_D     : 23049019886587905
KHEKERMAN_Share_D   : 29527985620948695
KHELENT_Share_D     : 14957056743925737
KHESADRA_Share_D    : 2318736941376687
KHETIZ_Share_D      : deleted
KHETOGHA_Share_D    : 70289374539527245
KHFANAR_Share_D     : 28033133021443774
KHFANAVAR_Share_D   : 58180284328186631
KHGOSTAR_Share_D    : 48990026850202503
KHKAR_Share_D       : 59217041815333317
KHKASHA_Share_D     : deleted
KHKAVEH_Share_D     : 64842837716888827
KHKOMAK_Share_D     : 19257295292088310
KHMEHR_Share_D      : 17330546482145553
KHMEHVAR_Share_D    : 7457232989848872
KHMOHAREKE_Share_D  : 39436183727126211
KHMOTOR_Share_D     : 57273529732791251
KHNASIR_Share_D     : 17834623106317041
KHODKAFA_Share_D    : 22956708386610464
KHODRO_Share_D      : 65883838195688438
KHOMRA_Share_D      : 6433335428452486
KHORASAN_Share_D    : 43552974795606067
KHOSAZ_Share_D      : 31879190587976736
KHPARS_Share_D      : 42354736493447489
KHPOYESH_Share_D    : 4758266259250794
KHRIKHT_Share_D     : 12752224677923341
KHRING_Share_D      : 45895339414786358
KHSAPA_Share_D      : 44891482026867833
KHSHARGH_Share_D    : 63915926161403347
KHTOUR_Share_D      : 50185721305191887
KHTRAK_Share_D      : 22903901709044823
KHZAMYA_Share_D     : 2589887561569709
KHZAR_Share_D       : 32821908911812078
KIMIA_Share_D       : 27814844870305607
KISOUN_Share_D      : 49953653111442595
KMINA_Share_D       : 54263829393913132
KOSAR_Share_D       : 22275596386264204
LEABSA_Share_D      : 63363116407864462
LEARJ_Share_D       : deleted
LEAZMA_Share_D      : 50368344235826302
LEBOTAN_Share_D     : 30650426998863332
LEGERAL_Share_D     : deleted
LEJAM_Share_D       : deleted
LEKEMA_Share_D      : 45641540066710190
LEKHANE_Share_D     : 56006915451245411
LEKHAZAR_Share_D    : 65414507129586385
LEMOKHABER_Share_D  : deleted
LEPARS_Share_D      : 5187018329202415
LEPAYAM_Share_D     : 793710053482057
LEPOOYA_Share_D     : deleted
LESARMA_Share_D     : 55897939403232751
LESHAHAB_Share_D    : deleted
LOTOS_Share_D       : 59142194115401696
MADARAN_Share_D     : 65999092673039059
MADIRA_Share_D      : 15917865009187760
MAFAKHER_Share_D    : 4247709727327181
MAMASANI_Share_D    : 7505990056227818
MARGHAM_Share_D     : 23838634016123354
MAROON_Share_D      : 53449700212786324
MA_Share_D          : 29860265627578401
MELAT_Share_D       : 13611044044646901
MEYAR_Share_D       : 50580753680043015
MIDKO_Share_D       : 24018878640527909
MIHAN_Share_D       : 26543014712914772
MOBIN_Share_D       : 27922860956133067
NAMAZAN_Share_D     : deleted
NBOURSE_Share_D     : 60095061789823130
NEBABAK_Share_D     : deleted
NEBORUJ_Share_D     : 60061422939859083
NEFARSH_Share_D     : deleted
NEGERBA_Share_D     : deleted
NEKALA_Share_D      : 10919655792568926
NEMRINO_Share_D     : 30231789123900526
NEPOPLEN_Share_D    : deleted
NEREY_Share_D       : deleted
NETOUS_Share_D      : 22950683624908253
NETRIN_Share_D      : 64699417405634265
NEVATAN_Share_D     : deleted
NIROO_Share_D       : 39481233087768672
NOORI_Share_D       : 19040514831923530
NOVIN_Share_D       : 59866041653103343
OFOGH_Share_D       : 49502666250908008
OMID_Share_D        : 18599703143458101
PAKHSH_Share_D      : 12638840758449459
PAKSHOO_Share_D     : 62786156501584862
PARDAKHT_Share_D    : 59607545337891226
PARDIS_Share_D      : 15039949673085566
PARS_Share_D        : 6110133418282108
PARSAN_Share_D      : 23441366113375722
PARSIAN_Share_D     : 9481703061634967
PARSMETAL_Share_D   : deleted
PEARTA_Share_D      : 68994573424108746
PEASA_Share_D       : 63580313877463104
